id,stock,datetime,open,high,low,close,volume
2461,AXISBANK.NS,2024-01-01,1093.221182919986,1102.2065625056298,1091.2244319009542,1095.916748046875,4083732
2462,AXISBANK.NS,2024-01-02,1093.3210915732434,1097.5641878592241,1080.5419570586787,1091.47412109375,7895577
2463,AXISBANK.NS,2024-01-03,1089.2277993642253,1100.8089321599628,1079.5436046173127,1096.8154296875,10225290
2464,AXISBANK.NS,2024-01-04,1101.2083083004443,1128.164450026747,1098.2631489717503,1121.5751953125,11411683
2465,AXISBANK.NS,2024-01-05,1122.1741127824732,1138.0483083252402,1117.1822350565724,1135.10302734375,8025466
2466,AXISBANK.NS,2024-01-08,1143.14013040852,1144.1385060682653,1116.683175425266,1120.177490234375,4735538
2467,AXISBANK.NS,2024-01-09,1126.7168353593506,1133.7054645793887,1110.543077469764,1114.736328125,6359362
2468,AXISBANK.NS,2024-01-10,1113.4383808745924,1114.187162569868,1097.264745005451,1105.2017822265625,5934163
2469,AXISBANK.NS,2024-01-11,1109.2451929528,1126.0677964347826,1109.2451929528,1123.9212646484375,4683035
2470,AXISBANK.NS,2024-01-12,1124.520282630233,1127.6152224780649,1116.2338386422973,1118.530029296875,5616755
2471,AXISBANK.NS,2024-01-15,1120.1774576314062,1128.6136829619059,1114.7862048512886,1117.6815185546875,6719079
2472,AXISBANK.NS,2024-01-16,1114.8361330321468,1125.9680452958034,1113.288602110393,1117.2821044921875,5229753
2473,AXISBANK.NS,2024-01-17,1080.2424307499423,1113.1888265121863,1077.4469302394873,1080.5419921875,24913719
2474,AXISBANK.NS,2024-01-18,1064.2684519148634,1106.9490113138881,1064.2684519148634,1095.71728515625,11473135
2475,AXISBANK.NS,2024-01-19,1105.3515730836875,1124.47049025291,1103.2050411631287,1114.736328125,12303696
2476,AXISBANK.NS,2024-01-23,1124.071079875519,1139.7455275929765,1077.0476148511282,1087.4805908203125,18924087
2477,AXISBANK.NS,2024-01-24,1033.1191433850806,1071.4566698090237,1019.2416978515686,1057.4295654296875,20884046
2478,AXISBANK.NS,2024-01-25,1056.2814231061855,1061.9721154837507,1024.1337763691554,1040.5570068359375,20835434
