id,stock,datetime,open,high,low,close,volume
739,INFY.NS,2024-01-01,1448.9451947683858,1465.8919221925776,1445.4146265550125,1460.572509765625,2808451
740,INFY.NS,2024-01-02,1455.535458187299,1458.5011582059428,1433.8813084212525,1444.6142578125,5396313
741,INFY.NS,2024-01-03,1431.0099267639569,1431.0099267639569,1400.9295302013422,1402.8125,7550363
742,INFY.NS,2024-01-04,1416.8875744672803,1430.821596173285,1405.5427510177758,1424.18408203125,7056038
743,INFY.NS,2024-01-05,1418.5823250946862,1449.6042055294993,1418.1115826606078,1442.8726806640625,8895403
744,INFY.NS,2024-01-08,1439.483154876404,1446.1206687605984,1424.701889324203,1433.693115234375,4440136
745,INFY.NS,2024-01-09,1451.675429581847,1462.1258878294154,1436.5645526388157,1439.812744140625,4412074
746,INFY.NS,2024-01-10,1435.7171978317997,1445.602788218323,1416.9346220683428,1430.9627685546875,4096845
747,INFY.NS,2024-01-11,1435.6702550988025,1435.7643805973064,1399.6113397659765,1406.7666015625,11296088
748,INFY.NS,2024-01-12,1470.5994024363956,1523.3225564289937,1464.3856251298819,1518.3797607421875,26754401
749,INFY.NS,2024-01-15,1548.69536270453,1567.5250585454428,1540.2691197866588,1555.427001953125,13228305
750,INFY.NS,2024-01-16,1548.5542635934448,1552.0377114243083,1529.9128183588118,1536.07958984375,6500917
751,INFY.NS,2024-01-17,1525.4408120839046,1551.0962739751476,1525.4408120839046,1544.223388671875,9209876
752,INFY.NS,2024-01-18,1546.5300303672077,1552.508435864297,1532.972626255938,1546.48291015625,6375464
753,INFY.NS,2024-01-19,1554.9563105966838,1568.0429726211407,1547.9422946366542,1562.111572265625,4522736
754,INFY.NS,2024-01-23,1553.5442072103745,1576.7047127157934,1541.8697714896578,1546.0594482421875,9401255
755,INFY.NS,2024-01-24,1562.770633148314,1581.694454529538,1548.7424867268392,1577.3636474609375,8999681
756,INFY.NS,2024-01-25,1575.0569444579046,1582.2123208537434,1560.9817927200572,1571.4322509765625,8865304
757,INFY.NS,2024-01-29,1567.7134372979071,1581.0824754834941,1551.1903330912653,1559.6636962890625,4253785
758,INFY.NS,2024-01-30,1565.171396519599,1591.1093493392334,1551.8023580167996,1554.8150634765625,4995943
759,INFY.NS,2024-01-31,1551.8023522623284,1569.6905638157846,1542.2462583680392,1563.712158203125,6763779
760,INFY.NS,2024-02-01,1562.4412365507558,1578.8701012939357,1553.7795069313138,1560.0875244140625,5760011
