id,stock,datetime,open,high,low,close,volume
3445,MARUTI.NS,2024-01-01,10138.469370990719,10138.469370990719,10010.722099635568,10078.0009765625,411724
3446,MARUTI.NS,2024-01-02,10078.001043416072,10089.173833356683,9948.391320534685,9994.1591796875,776837
3447,MARUTI.NS,2024-01-03,9996.364014816976,10006.164371694247,9864.05919697381,9876.45703125,521046
3448,MARUTI.NS,2024-01-04,9898.359794638418,9917.960507103047,9786.194526146362,9815.3505859375,711733
3449,MARUTI.NS,2024-01-05,9810.794734274685,9873.85964855839,9770.955900360013,9817.017578125,673131
3450,MARUTI.NS,2024-01-08,9805.257964791048,9926.733590960492,9714.017016630813,9748.1220703125,600153
3451,MARUTI.NS,2024-01-09,9775.856215363016,9842.156014025986,9692.553179943881,9823.9755859375,666469
3452,MARUTI.NS,2024-01-10,9849.309934541447,9850.093771685033,9751.3551753119,9810.353515625,481699
3453,MARUTI.NS,2024-01-11,9824.95585183534,9921.979389479007,9800.357337744063,9811.2353515625,1024815
3454,MARUTI.NS,2024-01-12,9824.858096551572,9844.410000585867,9737.58610706725,9766.693359375,850190
3455,MARUTI.NS,2024-01-15,9785.754061269035,9897.18431149926,9749.395119714558,9885.5224609375,463380
3456,MARUTI.NS,2024-01-16,9885.473512836672,10035.566375190534,9859.159935001637,9980.2431640625,536823
3457,MARUTI.NS,2024-01-17,9921.880799277875,9958.925954981683,9796.877445062095,9851.0244140625,610250
3458,MARUTI.NS,2024-01-18,9747.483835632574,9849.358737570217,9543.24497097576,9726.3642578125,614860
3459,MARUTI.NS,2024-01-19,9761.155721034129,9850.976377136963,9750.424138542056,9837.3046875,377018
3460,MARUTI.NS,2024-01-23,9665.111637290742,9773.895595082193,9635.808188356528,9663.5927734375,956269
3461,MARUTI.NS,2024-01-24,9663.152198047756,9800.357198831394,9560.248447460024,9788.79296875,459092
3462,MARUTI.NS,2024-01-25,9788.793423907258,9800.161455960038,9620.569901940842,9683.7333984375,718817
3463,MARUTI.NS,2024-01-29,9732.882532886373,9834.658863862809,9677.901952442116,9791.9296875,446516
3464,MARUTI.NS,2024-01-30,9810.990004034245,9833.188195464594,9733.22455406953,9752.97265625,399869
3465,MARUTI.NS,2024-01-31,9760.469660656285,10031.253341616297,9715.094197741317,9983.5263671875,997024
3466,MARUTI.NS,2024-02-01,10006.16386957037,10486.185133917745,10000.283655739086,10425.5703125,1869594
3467,MARUTI.NS,2024-02-02,10386.419408128231,10497.751092178833,10329.969728876193,10442.72265625,814940
3468,MARUTI.NS,2024-02-05,10390.337960835615,10545.13478315941,10192.370759544463,10220.3505859375,365105
3469,MARUTI.NS,2024-02-06,10290.326102978748,10640.002651478246,10249.213413697422,10628.33984375,829040
3470,MARUTI.NS,2024-02-07,10643.18805674898,10754.422112406533,10571.449249704627,10717.376953125,560808
3471,MARUTI.NS,2024-02-08,10732.37126661803,10732.37126661803,10476.533131015403,10529.40625,557082
3472,MARUTI.NS,2024-02-09,10497.407782792641,10554.984882313152,10399.256820953771,10518.576171875,645489
3473,MARUTI.NS,2024-02-12,10486.382134041196,10534.355073628376,10437.429158740553,10495.888671875,190655
3474,MARUTI.NS,2024-02-13,10515.782816010178,10613.786383726956,10427.726993243092,10578.9951171875,397979
3475,MARUTI.NS,2024-02-14,10491.282427702125,10829.394752555672,10489.714753369839,10807.78515625,354676
3476,MARUTI.NS,2024-02-15,10819.594026847906,10910.73734609581,10760.791885397646,10868.8408203125,447248
3477,MARUTI.NS,2024-02-16,10897.997526929608,11250.810396506466,10876.436740455467,11153.19921875,716486
3478,MARUTI.NS,2024-02-19,11153.198861976376,11381.203597407204,11106.793596514268,11254.0927734375,581383
3479,MARUTI.NS,2024-02-20,11211.609241914093,11250.761862454468,11089.937417882757,11217.9306640625,355044
3480,MARUTI.NS,2024-02-21,11227.289413620441,11290.99173658529,11143.006340159254,11236.9423828125,348461
3481,MARUTI.NS,2024-02-22,11270.410133974312,11461.517088419963,11163.831255533469,11425.0595703125,584406
3482,MARUTI.NS,2024-02-23,11471.269430104021,11486.018776454071,11246.106220727714,11305.2998046875,472884
3483,MARUTI.NS,2024-02-26,11275.310692418325,11303.682917255755,11188.528722874256,11238.0693359375,277700
3484,MARUTI.NS,2024-02-27,11187.10741180908,11332.055073322037,11156.971314313407,11271.0478515625,307585
3485,MARUTI.NS,2024-02-28,11241.98914238796,11269.381330709008,10907.79697975573,10930.1416015625,358812
3486,MARUTI.NS,2024-02-29,10932.29797686186,11122.42489819859,10907.307067098529,11062.9853515625,943841
3487,MARUTI.NS,2024-03-01,11069.503454790576,11441.917028302787,11069.503454790576,11388.9462890625,487355
3488,MARUTI.NS,2024-03-04,11368.414466818447,11444.171037326345,11313.679854130094,11362.681640625,369936
3489,MARUTI.NS,2024-03-05,11364.543020667177,11495.81899678797,11330.976797253708,11437.6044921875,320702
3490,MARUTI.NS,2024-03-06,11437.604578481421,11445.83726141884,11288.443906409533,11336.1220703125,639542
3491,MARUTI.NS,2024-03-07,11340.041943580729,11401.245364720759,11193.135165761978,11280.259765625,255325
3492,MARUTI.NS,2024-03-11,11285.25874521744,11325.195200953356,11123.454273014575,11168.0458984375,525344
3493,MARUTI.NS,2024-03-12,11172.406975041358,11344.795637421294,11153.786296749622,11280.11328125,283816
3494,MARUTI.NS,2024-03-13,11280.210800964443,11324.165018869822,11042.649766691105,11162.75390625,385204
3495,MARUTI.NS,2024-03-14,11174.122320074566,11231.209401017784,11076.412566943933,11176.9150390625,523058
