id,stock,datetime,open,high,low,close,volume
4675,ITC.NS,2024-01-01,408.6856996614059,414.3729227144936,407.93621892139623,412.6976013183594,9706230
4676,ITC.NS,2024-01-02,414.4169630918411,415.60730162259864,408.77383739402643,414.7255859375,10924918
4677,ITC.NS,2024-01-03,414.6374529754397,423.85162356508897,413.84390315321025,420.80963134765625,24961710
4678,ITC.NS,2024-01-04,423.23437457386365,424.5129071228705,418.1203002675262,420.06011962890625,12240910
4679,ITC.NS,2024-01-05,422.7053820832455,422.7053820832455,416.18051179222624,417.89990234375,9564086
4680,ITC.NS,2024-01-08,418.82568345798387,419.26656927712605,409.6115135595052,410.4491882324219,8311403
4681,ITC.NS,2024-01-09,412.2126760420016,414.37295243132024,408.8179919307326,409.6115417480469,5916180
4682,ITC.NS,2024-01-10,409.61151100261424,411.55135829400996,405.64370632417234,408.50933837890625,6123200
4683,ITC.NS,2024-01-11,409.2147814163854,411.3750298640487,406.5695501501203,407.9362487792969,6786448
4684,ITC.NS,2024-01-12,408.46527119962445,412.3890068755031,405.9082340544786,411.50726318359375,9714589
4685,ITC.NS,2024-01-15,414.4170217073618,414.8579075571134,410.97824062559533,412.30084228515625,7167978
4686,ITC.NS,2024-01-16,412.4771444388802,418.82565387142245,409.3469866848617,416.4449768066406,12531058
4687,ITC.NS,2024-01-17,415.651428506,420.5891708332484,410.18466231857855,411.4190979003906,11536527
4688,ITC.NS,2024-01-18,410.2287313504283,412.5212705423398,400.794132514801,410.4491882324219,9495938
4689,ITC.NS,2024-01-19,413.1384873419948,417.06222301526753,411.2427370084064,415.7395935058594,12673308
4690,ITC.NS,2024-01-23,417.72350799852904,417.72350799852904,402.42535422515556,404.9823913574219,8728196
4691,ITC.NS,2024-01-24,405.68777580722184,412.12447958613257,403.9243163741842,408.77386474609375,22459072
4692,ITC.NS,2024-01-25,408.7298246781795,409.9642323963227,398.63391042262094,401.7640686035156,20435547
4693,ITC.NS,2024-01-29,401.98449355111694,403.17483215123497,394.5778801618387,396.6058654785156,18557346
4694,ITC.NS,2024-01-30,394.13702107881414,400.0446450412793,385.6723320649476,386.2454528808594,45190319
4695,ITC.NS,2024-01-31,387.96484445448186,390.16918968527705,386.8185748743243,389.33154296875,20648695
4696,ITC.NS,2024-02-01,389.72836180825976,394.79833946233754,387.3476564800643,390.52191162109375,19903526
4697,ITC.NS,2024-02-02,392.3735334944645,394.3133528193609,387.5239851822233,388.0530090332031,17816750
4698,ITC.NS,2024-02-05,389.7283306306448,391.18319512515933,384.92285133537746,386.2454528808594,12505666
4699,ITC.NS,2024-02-06,387.96484228867234,388.7583920360094,378.70657560411007,380.38189697265625,19487043
4700,ITC.NS,2024-02-07,383.5561516187938,383.5561516187938,379.8528449472176,380.7345886230469,13376903
