id,stock,datetime,open,high,low,close,volume
4183,ULTRACEMCO.NS,2024-01-01,10375.365118584776,10392.109251809778,10287.99020479852,10336.7900390625,97677
4184,ULTRACEMCO.NS,2024-01-02,10362.374616606054,10362.374616606054,9981.264017475418,10080.6416015625,337528
4185,ULTRACEMCO.NS,2024-01-03,10080.691187014734,10120.451869077238,9966.940675933645,9988.6240234375,179575
4186,ULTRACEMCO.NS,2024-01-04,10036.48480008347,10040.979292759595,9879.417764334132,9893.0498046875,313755
4187,ULTRACEMCO.NS,2024-01-05,9977.21477296936,9977.21477296936,9873.491253052352,9894.28515625,163191
4188,ULTRACEMCO.NS,2024-01-08,9955.482037030046,9957.457723086214,9804.391252946516,9813.7265625,176843
4189,ULTRACEMCO.NS,2024-01-09,9868.155647254223,9895.173731024224,9750.207776645482,9778.755859375,242925
4190,ULTRACEMCO.NS,2024-01-10,9778.609298697473,9786.314281664387,9611.713019970673,9657.3515625,374333
4191,ULTRACEMCO.NS,2024-01-11,9720.277092501676,9824.049810673554,9600.995045699876,9799.84765625,375210
4192,ULTRACEMCO.NS,2024-01-12,9858.624060939741,9858.624060939741,9674.983659125457,9689.208984375,376816
4193,ULTRACEMCO.NS,2024-01-15,9758.901850883003,9875.269573526843,9700.619108783387,9833.533203125,273931
4194,ULTRACEMCO.NS,2024-01-16,9832.941224599792,9924.662072484018,9760.235392099208,9848.400390625,146779
4195,ULTRACEMCO.NS,2024-01-17,9837.928690075534,9923.969431712714,9705.55772467036,9734.84765625,252817
4196,ULTRACEMCO.NS,2024-01-18,9734.205238396851,9812.294037146934,9651.22642369974,9771.990234375,278338
4197,ULTRACEMCO.NS,2024-01-19,9877.442284690065,10005.56571638446,9725.314460723443,9970.9912109375,567616
4198,ULTRACEMCO.NS,2024-01-23,9878.430832634016,9962.397494711404,9695.679862230287,9711.4853515625,580285
4199,ULTRACEMCO.NS,2024-01-24,9745.071596825577,9910.633704576148,9616.25647843788,9869.0458984375,272419
4200,ULTRACEMCO.NS,2024-01-25,9863.216949679854,9926.044344044203,9761.074561074643,9848.15234375,296269
4201,ULTRACEMCO.NS,2024-01-29,9878.528647878176,10174.783156935418,9868.057897689938,10149.1484375,334463
4202,ULTRACEMCO.NS,2024-01-30,10164.658053837768,10194.540306188757,9821.135632183006,9842.47265625,368827
4203,ULTRACEMCO.NS,2024-01-31,9838.916257482448,10062.31733729734,9782.757768937145,10043.7451171875,341574
4204,ULTRACEMCO.NS,2024-02-01,10046.314519465452,10108.844790971056,9779.695297043389,9801.6748046875,401503
4205,ULTRACEMCO.NS,2024-02-02,9878.430487050711,10042.314034707073,9870.823902637587,9975.7822265625,334386
4206,ULTRACEMCO.NS,2024-02-05,9927.82248224454,10005.17039879498,9758.358202861335,9795.796875,162473
4207,ULTRACEMCO.NS,2024-02-06,9858.673680650578,9952.518770797053,9799.69925737833,9926.587890625,250870
4208,ULTRACEMCO.NS,2024-02-07,9991.044416810797,10162.533581138128,9957.75391372375,10102.1767578125,250184
4209,ULTRACEMCO.NS,2024-02-08,10164.904902460481,10169.844117670616,9829.532189692227,9876.109375,320905
4210,ULTRACEMCO.NS,2024-02-09,9952.320794198373,9952.320794198373,9732.229559422367,9824.83984375,400823
4211,ULTRACEMCO.NS,2024-02-12,9830.026329067325,9895.668693602904,9786.462835824654,9842.7197265625,191687
4212,ULTRACEMCO.NS,2024-02-13,9876.25679694124,9883.073299686148,9711.089250314555,9732.625,276453
4213,ULTRACEMCO.NS,2024-02-14,9682.886333132166,9705.408960705543,9585.97932022875,9668.8095703125,417802
4214,ULTRACEMCO.NS,2024-02-15,9716.325292175701,9719.535781906734,9588.004101357603,9694.9873046875,415090
4215,ULTRACEMCO.NS,2024-02-16,9754.999286808637,9827.062630014076,9731.340252898604,9795.6494140625,250550
4216,ULTRACEMCO.NS,2024-02-19,9828.000997076966,9828.000997076966,9764.828243072163,9781.8193359375,109778
4217,ULTRACEMCO.NS,2024-02-20,9781.818794672492,9878.429643649302,9735.192413816387,9857.6357421875,320905
4218,ULTRACEMCO.NS,2024-02-21,9849.041967478875,9992.032246036842,9799.402855233364,9847.21484375,322960
4219,ULTRACEMCO.NS,2024-02-22,9878.430657073848,9899.07696302333,9683.1338900454,9840.1025390625,363840
4220,ULTRACEMCO.NS,2024-02-23,9840.102749016549,9906.090474275656,9773.76869986276,9879.3203125,304238
4221,ULTRACEMCO.NS,2024-02-26,9877.492227701348,9927.773826713857,9780.585206727432,9809.3310546875,162530
4222,ULTRACEMCO.NS,2024-02-27,9809.331095866151,10027.595219827896,9761.322307504981,9830.125,214186
4223,ULTRACEMCO.NS,2024-02-28,9838.916825834049,9868.502918263484,9661.994520595093,9685.751953125,300668
4224,ULTRACEMCO.NS,2024-02-29,9666.044911665738,9814.221379396946,9587.659946112148,9772.1396484375,328848
4225,ULTRACEMCO.NS,2024-03-01,9779.64616555054,10060.045028572484,9772.138944269338,10012.283203125,352952
4226,ULTRACEMCO.NS,2024-03-04,10033.522137758098,10042.412725455235,9845.04187151689,9857.09375,221282
4227,ULTRACEMCO.NS,2024-03-05,9857.09330570224,9908.955064931262,9710.497013738688,9718.7451171875,310715
4228,ULTRACEMCO.NS,2024-03-06,9779.547494406143,9793.72265585947,9416.119661664017,9523.84375,534825
4229,ULTRACEMCO.NS,2024-03-07,9523.844345776804,9596.895534575106,9452.768843141052,9555.5546875,585012
4230,ULTRACEMCO.NS,2024-03-11,9576.199155357344,9705.161864913056,9555.306854908911,9580.0029296875,319303
4231,ULTRACEMCO.NS,2024-03-12,9610.675474958533,9610.675474958533,9458.992373239516,9498.6044921875,235430
4232,ULTRACEMCO.NS,2024-03-13,9507.692593369893,9535.648356974061,9384.508379908173,9476.9208984375,415925
4233,ULTRACEMCO.NS,2024-03-14,9340.055644307462,9589.979925429598,9339.067801299076,9579.064453125,347822
4234,ULTRACEMCO.NS,2024-03-15,9562.320595376728,9632.359052555828,9427.776180838397,9515.8427734375,379648
4235,ULTRACEMCO.NS,2024-03-18,9507.989326278685,9556.195874028632,9453.65795869995,9494.5048828125,226448
4236,ULTRACEMCO.NS,2024-03-19,9474.747885370849,9490.652737010856,9320.447575422646,9338.3271484375,316008
4237,ULTRACEMCO.NS,2024-03-20,9419.08296583084,9419.08296583084,9330.177096200554,9369.24609375,171219
4238,ULTRACEMCO.NS,2024-03-21,9409.205068512714,9522.510859493688,9389.349809047479,9484.0341796875,215837
4239,ULTRACEMCO.NS,2024-03-22,9493.171093891213,9633.247036344781,9463.53580431611,9564.048828125,224511
4240,ULTRACEMCO.NS,2024-03-26,9514.015202698316,9572.001785046697,9453.65837574713,9483.9853515625,397803
